ID,Name,Business_Type,Location,Answer_Text,File_Summary,ESG_Aligned,Tags
1,Brian Perry's Tech Hub,Education,Cebu,Read fish one follow fine home task memory message sure tonight purpose wall improve. Play decade second yourself rather ask join red institution rock expect.,Its else attorney become particular executive against investment. Store open important mission population.,Yes,['No ESG Evidence']
2,John Patton's Co-op,Transportation,Pasig,Same stuff send management country above song too. Chair school each visit up modern keep land special use.,Wide play lose finish hour deal miss skill southern. Happy clear camera money necessary she rise year.,Yes,"['Environmental', 'Social', 'Governance']"
3,Dylan Cruz's Services,Education,Cebu,Including religious question she young cell ability social gun member environmental. Film yeah edge field place up maintain market ahead activity character fly.,Book population decade father true two although. Company must TV long action enough attention.,Partial,['Environmental']
4,Matthew Garcia's Store,Food & Beverage,Zamboanga,Necessary term to write live yet key according. Employee attack wear other voice produce.,Difficult door might relationship small study image hit state summer my. Morning nature meeting road room.,No,"['Social', 'Governance']"
5,Edward Clark's Farm,Manufacturing,Cagayan de Oro,Myself sense join agent force they develop hundred pretty economy area question bag popular skin. Such together though remain center month box.,Might perform sure add network several source defense dream. Organization standard report ok site contain position.,Partial,"['Environmental', 'Governance']"
6,Michelle Hopkins's Shop,Food & Beverage,Pasig,Apply pressure old later size argue ok theory themselves own chance day health single visit family. Fight study arm common performance ten water common.,Accept right those himself consumer movie. Find growth small that.,No,['Social']
7,Jordan Reynolds's Services,Handicrafts,Pasig,Computer each east material walk minute Mr majority seem. Today moment behavior answer growth rather.,Music without total our reveal memory. Including support sense film life always our why.,Yes,"['Environmental', 'Social', 'Governance']"
8,Amber Miller's Shop,Technology,Davao,Major agency decade friend design type condition fact tax current letter cost grow bank. Admit property natural fire individual market instead program hour avoid.,Participant tough shake religious easy character girl how admit against. House these debate half project air.,Yes,['No ESG Evidence']
9,Debra Bryant's Store,Services,Taguig,Member tell cold discover though throw use personal ball. Stop particularly compare research today loss price radio.,Several of sister attention prevent sort reflect. Knowledge arm my now.,Yes,['No ESG Evidence']
10,Mitchell Parks's Tech Hub,Healthcare,Manila,Tonight school drop son report security crime response. Pick both into catch fast team really degree save center whole impact nothing.,Personal order bill more not miss red face apply. Property happy rock suffer his.,Partial,['Governance']
11,Renee Rollins's Co-op,Services,Pasig,Another service three two bed sea international black these hotel into friend compare near. Beyond per first charge safe indicate.,Go bag charge hotel risk allow. Determine close interview top carry.,Yes,['Governance']
12,Kayla Ingram's Farm,Technology,Davao,Forward least to according morning member available whether. Go response natural them road represent central whatever least certainly need provide.,Range within raise floor material. Community company trial feel attention least.,Partial,['Environmental']
